"state","species","total"
"Alabama","American Goldfinch,Purple Finch",33
"Alabama","Fish Crow,Northern Cardinal",33
"Alabama","Hummingbird",32
"Alabama","American Goldfinch,House Finch",30
"Alabama","Northern Flicker",30
"Alabama","Brown-Headed Cowbird,Red-Winged Blackbird",29
"Alabama","Wood Thrush",29
"Alabama","Bobolink",28
"Alabama","Feral Pigeon,House Finch",28
"Alabama","Fish Crow,Red-Winged Blackbird",28
"Alabama","Feral Pigeon,Northern Cardinal",26
"Alabama","Field Sparrow,House Finch",26
"Alabama","Blue Jay,Eastern Bluebird",25
"Alabama","Common Ground-Dove",24
"Alabama","Fish Crow,Purple Finch",24
"Alabama","Fish Crow,House Sparrow",23
"Alabama","Fish Crow,Tufted Titmouse",23
"Alabama","Chipping Sparrow,Field Sparrow",22
"Alabama","House Finch,Tufted Titmouse",22
"Alabama","Blue Jay,Brown-Headed Cowbird",20
"Alabama","House Finch,Orchard Oriole",20
"Alabama","American Goldfinch,Chipping Sparrow",18
"Alabama","Blue Jay,Fish Crow",18
"Alabama","Brown-Headed Cowbird,House Sparrow",18
"Alabama","Carolina Wren,Chipping Sparrow",18
"Alabama","House Sparrow,Northern Cardinal",18
"Alabama","Field Sparrow,House Sparrow",17
"Alabama","House Finch,Indigo Bunting",16
"Alabama","Brown-Headed Cowbird,Mourning Dove",15
"Alabama","Eastern Bluebird,Fish Crow",15
"Alabama","Eastern Bluebird,Tufted Titmouse",15
"Alabama","Northern Cardinal,Pine Siskin",15
"Alabama","Winter Wren",15
"Alabama","American Goldfinch,House Sparrow",14
"Alabama","Eastern Bluebird,Northern Cardinal",14
"Alabama","Blue Jay,House Finch",13
"Alabama","Eastern Bluebird,House Finch",13
"Alabama","Fish Crow,Mourning Dove",13
"Alabama","Tufted Titmouse,White-Breasted Nuthatch",13
"Alabama","American Goldfinch,Northern Cardinal",12
"Alabama","Eastern Meadowlark",12
"Alabama","Purple Finch,Tufted Titmouse",12
"Alabama","Rusty Blackbird",12
"Alabama","Blue Jay,House Sparrow",11
"Alabama","Brown-Headed Cowbird,Northern Cardinal",11
"Alabama","Brown-Headed Cowbird,Purple Finch",11
"Alabama","Chipping Sparrow,White-Crowned Sparrow",11
"Alabama","Feral Pigeon,Tufted Titmouse",11
"Alabama","House Finch,Rose-Breasted Grosbeak",11
"Alabama","House Finch,White-Crowned Sparrow",11
"Alabama","Chipping Sparrow,Rose-Breasted Grosbeak",10
"Alabama","Eastern Bluebird,Mourning Dove",10
"Alabama","Fish Crow,Northern Mockingbird",10
"Alabama","Blue Jay,Mourning Dove",9
"Alabama","Eastern Bluebird,House Sparrow",9
"Alabama","Eurasian Collared Dove,House Finch",9
"Alabama","Field Sparrow,White-Throated Sparrow",9
"Alabama","House Finch,Pileated Woodpecker",9
"Alabama","House Finch,Red-Headed Woodpecker",9
"Alabama","House Finch,Summer Tanager",9
"Alabama","House Sparrow,Rose-Breasted Grosbeak",9
"Alabama","House Sparrow,Tufted Titmouse",9
"Alabama","Northern Cardinal,Red-Winged Blackbird",9
"Alabama","Northern Cardinal,Tufted Titmouse",9
"Alabama","American Goldfinch,Pine Siskin",8
"Alabama","Blue Jay,Tufted Titmouse",8
"Alabama","Brown-Headed Cowbird,Eastern Bluebird",8
"Alabama","Chipping Sparrow,Northern Cardinal",8
"Alabama","Chipping Sparrow,Purple Finch",8
"Alabama","Chipping Sparrow,White-Throated Sparrow",8
"Alabama","Feral Pigeon,Mourning Dove",8
"Alabama","House Finch,Mourning Dove",8
"Alabama","Northern Cardinal,Rose-Breasted Grosbeak",8
"Alabama","Blue-Gray Gnatcatcher",7
"Alabama","Bronzed Cowbird",7
"Alabama","Carolina Chickadee,Fish Crow",7
"Alabama","Carolina Chickadee,House Finch",7
"Alabama","Carolina Chickadee,White-Throated Sparrow",7
"Alabama","Carolina Wren,House Sparrow",7
"Alabama","Chipping Sparrow,Tufted Titmouse",7
"Alabama","Dark-Eyed Junco,House Sparrow",7
"Alabama","Eastern Bluebird,Orchard Oriole",7
"Alabama","Feral Pigeon,Purple Finch",7
"Alabama","Fish Crow,Orchard Oriole",7
"Alabama","Fish Crow,Rose-Breasted Grosbeak",7
"Alabama","Fox Sparrow,House Finch",7
"Alabama","House Finch,Pine Warbler",7
"Alabama","House Finch,Red-Winged Blackbird",7
"Alabama","House Sparrow,Lark Sparrow",7
"Alabama","House Sparrow,Orchard Oriole",7
"Alabama","House Sparrow,White-Crowned Sparrow",7
"Alabama","Blue Jay,Eurasian Collared Dove",6
"Alabama","Blue Jay,Orchard Oriole",6
"Alabama","Blue Jay,Purple Finch",6
"Alabama","Brown-Headed Cowbird,Eurasian Collared Dove",6
"Alabama","Brown-Headed Cowbird,Tufted Titmouse",6
"Alabama","Common Starling,Purple Finch",6
"Alabama","House Finch,Lark Sparrow",6
"Alabama","House Finch,Red-Bellied Woodpecker",6
"Alabama","Indigo Bunting,Purple Finch",6
"Alabama","Northern Cardinal,Orchard Oriole",6
"Alabama","Orchard Oriole,Purple Finch",6
"Alabama","Pileated Woodpecker,Purple Finch",6
"Alabama","Purple Finch,Rose-Breasted Grosbeak",6
"Alabama","Rose-Breasted Grosbeak,Tufted Titmouse",6
"Alabama","American Goldfinch,Field Sparrow",5
"Alabama","Blue Grosbeak,House Finch",5
"Alabama","Brown-Headed Cowbird,Common Grackle",5
"Alabama","Carolina Wren,Fish Crow",5
"Alabama","Dark-Eyed Junco,House Finch",5
"Alabama","Eastern Bluebird,Field Sparrow",5
"Alabama","Eastern Bluebird,Purple Finch",5
"Alabama","Eurasian Collared Dove,Feral Pigeon",5
"Alabama","Field Sparrow,Fish Crow",5
"Alabama","Field Sparrow,Northern Cardinal",5
"Alabama","Fish Crow,Pine Siskin",5
"Alabama","Fish Crow,Pine Warbler",5
"Alabama","House Sparrow,Pine Siskin",5
"Alabama","House Sparrow,Red-Winged Blackbird",5
"Alabama","House Sparrow,Swamp Sparrow",5
"Alabama","House Sparrow,White-Throated Sparrow",5
"Alabama","Mourning Dove,Northern Cardinal",5
"Alabama","American Crow,Purple Finch",4
"Alabama","American Goldfinch,Fish Crow",4
"Alabama","Blue Grosbeak,Fish Crow",4
"Alabama","Brown-Headed Cowbird,Feral Pigeon",4
"Alabama","Brown-Headed Cowbird,Field Sparrow",4
"Alabama","Brown-Headed Nuthatch,Northern Cardinal",4
"Alabama","Carolina Chickadee,Chipping Sparrow",4
"Alabama","Carolina Chickadee,House Sparrow",4
"Alabama","Carolina Chickadee,White-Crowned Sparrow",4
"Alabama","Carolina Wren,Field Sparrow",4
"Alabama","Carolina Wren,House Finch",4
"Alabama","Carolina Wren,Tufted Titmouse",4
"Alabama","Chipping Sparrow,Fish Crow",4
"Alabama","Chipping Sparrow,Swamp Sparrow",4
"Alabama","Eurasian Collared Dove,Purple Finch",4
"Alabama","Feral Pigeon,House Sparrow",4
"Alabama","Field Sparrow,Purple Finch",4
"Alabama","Field Sparrow,Tufted Titmouse",4
"Alabama","Fish Crow,Fox Sparrow",4
"Alabama","Fish Crow,White-Crowned Sparrow",4
"Alabama","House Finch,Scaly-Breasted Munia",4
"Alabama","House Finch,Song Sparrow",4
"Alabama","House Finch,White-Throated Sparrow",4
"Alabama","House Sparrow,Northern Mockingbird",4
"Alabama","House Sparrow,Pine Warbler",4
"Alabama","Lark Sparrow,Swamp Sparrow",4
"Alabama","Northern Cardinal,Pileated Woodpecker",4
"Alabama","Northern Cardinal,Pine Warbler",4
"Alabama","Orchard Oriole,Red-Winged Blackbird",4
"Alabama","Pigeon",4
"Alabama","Pine Warbler,Purple Finch",4
"Alabama","American Goldfinch,Blue Jay",3
"Alabama","American Goldfinch,Brown-Headed Cowbird",3
"Alabama","American Goldfinch,Evening Grosbeak",3
"Alabama","American Goldfinch,Mourning Dove",3
"Alabama","American Goldfinch,Orchard Oriole",3
"Alabama","American Goldfinch,Scarlet Tanager",3
"Alabama","American Goldfinch,Tufted Titmouse",3
"Alabama","Blue Jay,Red-Winged Blackbird",3
"Alabama","Brewers Blackbird,Brown-Headed Cowbird",3
"Alabama","Brown-Headed Cowbird,Pine Siskin",3
"Alabama","Carolina Wren,Scaly-Breasted Munia",3
"Alabama","Chipping Sparrow,Lark Sparrow",3
"Alabama","Common Starling,House Finch",3
"Alabama","Dark-Eyed Junco,Tufted Titmouse",3
"Alabama","Eastern Bluebird,Northern Mockingbird",3
"Alabama","Eastern Bluebird,Pine Siskin",3
"Alabama","Eastern Towhee,Northern Cardinal",3
"Alabama","Eurasian Collared Dove,House Sparrow",3
"Alabama","Feral Pigeon,Fish Crow",3
"Alabama","House Finch,Red Crossbill",3
"Alabama","House Finch,Scarlet Tanager",3
"Alabama","House Sparrow,Mourning Dove",3
"Alabama","Indigo Bunting,Northern Cardinal",3
"Alabama","Indigo Bunting,Pine Siskin",3
"Alabama","Northern Cardinal,Red-Bellied Woodpecker",3
"Alabama","Northern Cardinal,Summer Tanager",3
"Alabama","Northern Cardinal,White-Crowned Sparrow",3
"Alabama","Northern Mockingbird,Tufted Titmouse",3
"Alabama","Northern Red Bishop",3
"Alabama","Orchard Oriole,Pine Siskin",3
"Alabama","Pine Siskin,Tufted Titmouse",3
"Alabama","Red-Winged Blackbird,Tufted Titmouse",3
"Alabama","American Crow,House Finch",2
"Alabama","American Goldfinch,Brown-Headed Nuthatch",2
"Alabama","American Goldfinch,Eastern Bluebird",2
"Alabama","American Goldfinch,Pileated Woodpecker",2
"Alabama","American Goldfinch,Rose-Breasted Grosbeak",2
"Alabama","American Goldfinch,White-Breasted Nuthatch",2
"Alabama","American Goldfinch,White-Crowned Sparrow",2
"Alabama","American Goldfinch,Yellow-Bellied Sapsucker",2
"Alabama","Baltimore Oriole,Pine Siskin",2
"Alabama","Baltimore Oriole,Red-Bellied Woodpecker",2
"Alabama","Baltimore Oriole,Red-Winged Blackbird",2
"Alabama","Blue Grosbeak,Brown-Headed Cowbird",2
"Alabama","Blue Grosbeak,Red-Winged Blackbird",2
"Alabama","Blue Jay,Common Grackle",2
"Alabama","Blue Jay,Feral Pigeon",2
"Alabama","Blue Jay,Northern Mockingbird",2
"Alabama","Blue Jay,Red-Bellied Woodpecker",2
"Alabama","Brown-Headed Cowbird,Common Starling",2
"Alabama","Brown-Headed Cowbird,Fish Crow,Red-Winged Blackbird",2
"Alabama","Brown-Headed Cowbird,Pileated Woodpecker",2
"Alabama","Brown-Headed Cowbird,Pine Warbler",2
"Alabama","Brown-Headed Cowbird,Rose-Breasted Grosbeak",2
"Alabama","Brown-Headed Nuthatch,Eurasian Collared Dove",2
"Alabama","Brown-Headed Nuthatch,House Finch",2
"Alabama","Brown-Headed Nuthatch,House Sparrow",2
"Alabama","Bullocks Oriole",2
"Alabama","Carolina Chickadee,Feral Pigeon",2
"Alabama","Carolina Chickadee,Red-Bellied Woodpecker",2
"Alabama","Carolina Wren,Northern Cardinal",2
"Alabama","Carolina Wren,Purple Finch",2
"Alabama","Carolina Wren,Rose-Breasted Grosbeak",2
"Alabama","Carolina Wren,Swamp Sparrow",2
"Alabama","Chipping Sparrow,Common Grackle",2
"Alabama","Chipping Sparrow,Eastern Bluebird",2
"Alabama","Chipping Sparrow,Indigo Bunting",2
"Alabama","Chipping Sparrow,Pine Siskin",2
"Alabama","Clay-Colored Sparrow,House Sparrow",2
"Alabama","Common Grackle,Fish Crow",2
"Alabama","Common Grackle,House Finch",2
"Alabama","Common Grackle,Red-Winged Blackbird",2
"Alabama","Common Starling,Fish Crow",2
"Alabama","Common Starling,House Sparrow",2
"Alabama","Dark-Eyed Junco,Eastern Bluebird",2
"Alabama","Dark-Eyed Junco,Feral Pigeon",2
"Alabama","Dark-Eyed Junco,Northern Cardinal",2
"Alabama","Dark-Eyed Junco,Purple Finch",2
"Alabama","Eastern Bluebird,Eurasian Collared Dove",2
"Alabama","Eastern Bluebird,Indigo Bunting",2
"Alabama","Eastern Towhee,Fish Crow",2
"Alabama","Eastern Towhee,House Sparrow",2
"Alabama","Eurasian Collared Dove,Indigo Bunting",2
"Alabama","Eurasian Collared Dove,Scaly-Breasted Munia",2
"Alabama","Eurasian Collared Dove,Tufted Titmouse",2
"Alabama","Evening Grosbeak,Northern Mockingbird",2
"Alabama","Feral Pigeon,Pine Siskin",2
"Alabama","Field Sparrow,Lincolns Sparrow",2
"Alabama","Field Sparrow,Pine Siskin",2
"Alabama","Field Sparrow,Red-Headed Woodpecker",2
"Alabama","Field Sparrow,Rose-Breasted Grosbeak",2
"Alabama","Field Sparrow,White-Crowned Sparrow",2
"Alabama","Fish Crow,Gray Catbird",2
"Alabama","Fish Crow,Indigo Bunting",2
"Alabama","Fish Crow,Scaly-Breasted Munia",2
"Alabama","Golden-Crowned Kinglet,House Finch",2
"Alabama","Gray Catbird,House Finch",2
"Alabama","Gray Catbird,Tufted Titmouse",2
"Alabama","Gray Catbird,White-Breasted Nuthatch",2
"Alabama","House Finch,House Wren",2
"Alabama","House Finch,Northern Mockingbird",2
"Alabama","House Finch,Swamp Sparrow",2
"Alabama","House Sparrow,House Wren",2
"Alabama","House Sparrow,Pileated Woodpecker",2
"Alabama","House Sparrow,Scaly-Breasted Munia",2
"Alabama","House Sparrow,White-Breasted Nuthatch",2
"Alabama","Mourning Dove,Pine Siskin",2
"Alabama","Mourning Dove,Tufted Titmouse",2
"Alabama","Northern Cardinal,Red Crossbill",2
"Alabama","Northern Cardinal,Red-Headed Woodpecker",2
"Alabama","Northern Cardinal,White-Breasted Nuthatch",2
"Alabama","Northern Mockingbird,Orchard Oriole",2
"Alabama","Orchard Oriole,Rose-Breasted Grosbeak",2
"Alabama","Orchard Oriole,Tufted Titmouse",2
"Alabama","Pine Siskin,Red-Headed Woodpecker",2
"Alabama","Pine Siskin,Red-Winged Blackbird",2
"Alabama","Pine Warbler,Tufted Titmouse",2
"Alabama","Purple Finch,Red-Bellied Woodpecker",2
"Alabama","Purple Finch,Red-Headed Woodpecker",2
"Alabama","Purple Finch,Swamp Sparrow",2
"Alabama","Purple Finch,White-Crowned Sparrow",2
"Alabama","Swamp Sparrow,White-Throated Sparrow",2
"Alabama","Tufted Titmouse,White-Throated Sparrow",2
"Alabama","White-Crowned Sparrow,White-Throated Sparrow",2
"Alabama","American Crow,Brewers Blackbird",1
"Alabama","American Crow,Brown-Headed Cowbird",1
"Alabama","American Crow,Red-Winged Blackbird",1
"Alabama","American Crow,Tufted Titmouse",1
"Alabama","American Goldfinch,Baltimore Oriole,Orchard Oriole",1
"Alabama","American Goldfinch,Brewers Blackbird",1
"Alabama","American Goldfinch,Cedar Waxwing",1
"Alabama","American Goldfinch,Dark-Eyed Junco",1
"Alabama","American Goldfinch,Indigo Bunting",1
"Alabama","American Goldfinch,Lark Sparrow",1
"Alabama","American Goldfinch,Northern Flicker",1
"Alabama","American Goldfinch,Pileated Woodpecker,Purple Finch",1
"Alabama","American Goldfinch,Pine Warbler",1
"Alabama","American Goldfinch,Red-Bellied Woodpecker,Tufted Titmouse",1
"Alabama","American Goldfinch,Red-Headed Woodpecker",1
"Alabama","American Goldfinch,Red-Winged Blackbird",1
"Alabama","American Goldfinch,Scaly-Breasted Munia",1
"Alabama","American Goldfinch,White-Throated Sparrow",1
"Alabama","American Goldfinch,White-Winged Dove",1
"Alabama","American Robin,Dark-Eyed Junco",1
"Alabama","American Robin,Orchard Oriole",1
"Alabama","Baltimore Oriole,Dark-Eyed Junco",1
"Alabama","Baltimore Oriole,Fish Crow",1
"Alabama","Baltimore Oriole,House Finch",1
"Alabama","Baltimore Oriole,Northern Cardinal",1
"Alabama","Baltimore Oriole,Orchard Oriole",1
"Alabama","Baltimore Oriole,Scarlet Tanager",1
"Alabama","Baltimore Oriole,Summer Tanager",1
"Alabama","Baltimore Oriole,Swamp Sparrow",1
"Alabama","Blue Grosbeak,Orchard Oriole",1
"Alabama","Blue Grosbeak,Pine Siskin",1
"Alabama","Blue Grosbeak,Purple Finch",1
"Alabama","Blue Grosbeak,Rose-Breasted Grosbeak",1
"Alabama","Blue Grosbeak,Tyrant Flycatcher",1
"Alabama","Blue Grosbeak,White-Throated Sparrow",1
"Alabama","Blue Jay,Brown-Headed Nuthatch",1
"Alabama","Blue Jay,Chipping Sparrow",1
"Alabama","Blue Jay,Dark-Eyed Junco",1
"Alabama","Blue Jay,Fox Sparrow,Tufted Titmouse",1
"Alabama","Blue Jay,Lincolns Sparrow",1
"Alabama","Blue Jay,Northern Cardinal",1
"Alabama","Blue Jay,Pine Warbler",1
"Alabama","Blue Jay,White-Breasted Nuthatch",1
"Alabama","Blue Jay,White-Throated Sparrow",1
"Alabama","Blue Jay,Yellow-Throated Warbler",1
"Alabama","Bobolink,House Sparrow",1
"Alabama","Brewers Blackbird,Red-Winged Blackbird",1
"Alabama","Bronzed Cowbird,Fish Crow",1
"Alabama","Brown Creeper,Field Sparrow",1
"Alabama","Brown Creeper,House Sparrow",1
"Alabama","Brown Creeper,Lark Sparrow",1
"Alabama","Brown Thrasher,House Finch",1
"Alabama","Brown-Headed Cowbird,Carolina Wren",1
"Alabama","Brown-Headed Cowbird,Chipping Sparrow",1
"Alabama","Brown-Headed Cowbird,Evening Grosbeak",1
"Alabama","Brown-Headed Cowbird,Fox Sparrow",1
"Alabama","Brown-Headed Cowbird,Gray Catbird",1
"Alabama","Brown-Headed Cowbird,Indigo Bunting",1
"Alabama","Brown-Headed Cowbird,Northern Mockingbird",1
"Alabama","Brown-Headed Nuthatch,Dark-Eyed Junco",1
"Alabama","Brown-Headed Nuthatch,Fish Crow",1
"Alabama","Brown-Headed Nuthatch,Fox Sparrow",1
"Alabama","Brown-Headed Nuthatch,Golden-Crowned Kinglet",1
"Alabama","Brown-Headed Nuthatch,Orchard Oriole",1
"Alabama","Brown-Headed Nuthatch,Tufted Titmouse",1
"Alabama","Carolina Chickadee,Cedar Waxwing",1
"Alabama","Carolina Chickadee,Dark-Eyed Junco",1
"Alabama","Carolina Chickadee,Eurasian Collared Dove",1
"Alabama","Carolina Chickadee,Field Sparrow",1
"Alabama","Carolina Chickadee,Northern Cardinal",1
"Alabama","Carolina Chickadee,Pine Siskin",1
"Alabama","Carolina Chickadee,Purple Finch",1
"Alabama","Carolina Chickadee,Tufted Titmouse",1
"Alabama","Carolina Chickadee,White-Breasted Nuthatch",1
"Alabama","Carolina Wren,Downy Woodpecker",1
"Alabama","Carolina Wren,Evening Grosbeak",1
"Alabama","Carolina Wren,Fox Sparrow",1
"Alabama","Carolina Wren,Gray Catbird",1
"Alabama","Carolina Wren,Orchard Oriole",1
"Alabama","Carolina Wren,Pileated Woodpecker",1
"Alabama","Carolina Wren,Purple Finch,Rose-Breasted Grosbeak",1
"Alabama","Carolina Wren,Red-Bellied Woodpecker",1
"Alabama","Chipping Sparrow,Dark-Eyed Junco",1
"Alabama","Chipping Sparrow,Golden-Crowned Kinglet",1
"Alabama","Chipping Sparrow,Gray Catbird",1
"Alabama","Chipping Sparrow,Northern Mockingbird",1
"Alabama","Chipping Sparrow,Red-Bellied Woodpecker",1
"Alabama","Chipping Sparrow,Red-Winged Blackbird",1
"Alabama","Chipping Sparrow,Scarlet Tanager",1
"Alabama","Chipping Sparrow,Song Sparrow",1
"Alabama","Chipping Sparrow,Summer Tanager",1
"Alabama","Chipping Sparrow,White-Breasted Nuthatch",1
"Alabama","Chipping Sparrow,Wood Thrush",1
"Alabama","Common Grackle,Fish Crow,Red-Winged Blackbird",1
"Alabama","Common Grackle,House Sparrow",1
"Alabama","Common Grackle,Northern Cardinal",1
"Alabama","Common Grackle,Tufted Titmouse",1
"Alabama","Common Ground-Dove,Feral Pigeon",1
"Alabama","Common Ground-Dove,Fish Crow,House Finch",1
"Alabama","Common Ground-Dove,House Finch",1
"Alabama","Common Starling,Field Sparrow",1
"Alabama","Common Starling,Orchard Oriole",1
"Alabama","Common Starling,Summer Tanager",1
"Alabama","Common Waxbill",1
"Alabama","Dark-Eyed Junco,Fish Crow",1
"Alabama","Dark-Eyed Junco,Orchard Oriole",1
"Alabama","Dark-Eyed Junco,Red-Winged Blackbird",1
"Alabama","Dark-Eyed Junco,Rose-Breasted Grosbeak",1
"Alabama","Dickcissel,House Finch",1
"Alabama","Dickcissel,House Sparrow",1
"Alabama","Dickcissel,Northern Mockingbird",1
"Alabama","Dickcissel,Pine Siskin",1
"Alabama","Dickcissel,Swamp Sparrow",1
"Alabama","Downy Woodpecker,House Finch",1
"Alabama","Downy Woodpecker,Red-Cockaded Woodpecker",1
"Alabama","Eastern Bluebird,Feral Pigeon",1
"Alabama","Eastern Bluebird,Fox Sparrow",1
"Alabama","Eastern Bluebird,House Finch,House Sparrow",1
"Alabama","Eastern Bluebird,Hummingbird",1
"Alabama","Eastern Bluebird,Pine Warbler",1
"Alabama","Eastern Bluebird,Red-Bellied Woodpecker",1
"Alabama","Eastern Bluebird,Red-Winged Blackbird",1
"Alabama","Eastern Bluebird,Scarlet Tanager",1
"Alabama","Eastern Bluebird,Summer Tanager",1
"Alabama","Eastern Bluebird,Swamp Sparrow",1
"Alabama","Eastern Bluebird,White-Breasted Nuthatch",1
"Alabama","Eastern Bluebird,White-Crowned Sparrow",1
"Alabama","Eastern Towhee,Feral Pigeon",1
"Alabama","Eastern Towhee,House Finch",1
"Alabama","Eastern Towhee,Orchard Oriole",1
"Alabama","Eastern Towhee,Purple Finch",1
"Alabama","Eurasian Collared Dove,Fish Crow",1
"Alabama","Eurasian Collared Dove,Fox Sparrow",1
"Alabama","Eurasian Collared Dove,Northern Cardinal",1
"Alabama","Eurasian Collared Dove,White-Winged Dove",1
"Alabama","Evening Grosbeak,Mourning Dove",1
"Alabama","Evening Grosbeak,Tufted Titmouse",1
"Alabama","Feral Pigeon,Indigo Bunting",1
"Alabama","Feral Pigeon,Orchard Oriole",1
"Alabama","Feral Pigeon,Red-Winged Blackbird",1
"Alabama","Feral Pigeon,Rose-Breasted Grosbeak",1
"Alabama","Feral Pigeon,Swamp Sparrow",1
"Alabama","Feral Pigeon,White-Crowned Sparrow",1
"Alabama","Field Sparrow,Gray Catbird",1
"Alabama","Field Sparrow,Lark Sparrow",1
"Alabama","Field Sparrow,Mourning Dove",1
"Alabama","Field Sparrow,Orchard Oriole",1
"Alabama","Field Sparrow,Red-Winged Blackbird",1
"Alabama","Field Sparrow,Summer Tanager",1
"Alabama","Field Sparrow,Swamp Sparrow",1
"Alabama","Field Sparrow,White-Breasted Nuthatch",1
"Alabama","Fish Crow,Hairy Woodpecker",1
"Alabama","Fish Crow,House Sparrow,Rose-Breasted Grosbeak",1
"Alabama","Fish Crow,Lark Sparrow",1
"Alabama","Fish Crow,Red-Bellied Woodpecker",1
"Alabama","Fish Crow,Red-Breasted Nuthatch",1
"Alabama","Fish Crow,Rusty Blackbird",1
"Alabama","Fish Crow,Swamp Sparrow",1
"Alabama","Fish Crow,White-Breasted Nuthatch",1
"Alabama","Fish Crow,White-Throated Sparrow",1
"Alabama","Fox Sparrow,House Sparrow",1
"Alabama","Fox Sparrow,Pine Siskin",1
"Alabama","Fox Sparrow,Red-Headed Woodpecker",1
"Alabama","Golden-Crowned Kinglet,House Sparrow",1
"Alabama","Golden-Crowned Kinglet,Swamp Sparrow",1
"Alabama","Gray Catbird,House Sparrow",1
"Alabama","Gray Catbird,Northern Mockingbird",1
"Alabama","Gray Catbird,Purple Finch",1
"Alabama","Gray Catbird,Swamp Sparrow",1
"Alabama","Hairy Woodpecker,Northern Cardinal",1
"Alabama","Hairy Woodpecker,Orchard Oriole",1
"Alabama","Hairy Woodpecker,Purple Finch",1
"Alabama","House Finch,Lincolns Sparrow",1
"Alabama","House Finch,Northern Cardinal,Purple Finch",1
"Alabama","House Finch,Northern Flicker",1
"Alabama","House Finch,White-Breasted Nuthatch",1
"Alabama","House Finch,Yellow-Bellied Sapsucker",1
"Alabama","House Sparrow,Lincolns Sparrow",1
"Alabama","House Sparrow,Northern Cardinal,White-Winged Dove",1
"Alabama","House Sparrow,Northern Flicker",1
"Alabama","House Sparrow,Red-Headed Woodpecker",1
"Alabama","House Sparrow,Summer Tanager",1
"Alabama","House Wren,Mourning Dove",1
"Alabama","Indigo Bunting,Orchard Oriole",1
"Alabama","Indigo Bunting,Scaly-Breasted Munia",1
"Alabama","Indigo Bunting,White-Breasted Nuthatch",1
"Alabama","Java Sparrow",1
"Alabama","Lark Sparrow,Northern Cardinal",1
"Alabama","Lark Sparrow,Purple Finch",1
"Alabama","Lark Sparrow,White-Throated Sparrow",1
"Alabama","Lincolns Sparrow,Purple Finch",1
"Alabama","Lincolns Sparrow,Rose-Breasted Grosbeak",1
